School,ChapterName,PlaceName,ContactURL,FacebookWebsite,Longitude,Latitude,LogoHold,preview,blurbs,LogoHold,PhotoHold,Photo,sequence,photoPreview,CountryForSort,RegionForSort
Texas Tech University,YouthMappers at TTU,"Lubbock, TEXAS",mailto:emily.glaeser@ttu.edu?subject=About%20the%20Youth%20Mappers%20at%20Texas%20Tech%20University,https://www.facebook.com/youthmapperstexastech/,-101.8652344,33.57801475,https://dl.dropbox.com/s/2jt8avv7zf519m4/texas-tech.jpg?dl=0,,"As one of the co-founding chapters of the network, the TTU YouthMappers are enthusiastic to serve as interdisciplinary leaders to help create open geographic data and analyses that address locally defined development challenges worldwide. The chapter strives to exchange and collaborate with other chapters around the globe while also offering themselves as a local resource and service to Texas Tech student organizations in ways that add value to their respecitive campus activities through mapping.",https://www.dropbox.com/s/2jt8avv7zf519m4/texas-tech.jpg?dl=0,https://www.dropbox.com/s/xrqsrbq9n2zmf1p/texas-tech-6dd283_df4b82679d8e46059aae0287a6ed0d3e-mv2.png?dl=0,https://dl.dropbox.com/s/xrqsrbq9n2zmf1p/texas-tech-6dd283_df4b82679d8e46059aae0287a6ed0d3e-mv2.png?dl=0,1,,USA,0-Inaugural
West Virginia University,Maptime Morgantown,"Morgantown, WEST VIRGINIA",mailto:MaptimeMorgantown@gmail.com?subject=Maptime%20Morgantown%20from%20YouthMappers%20website,,-79.98046875,39.63953756,https://dl.dropbox.com/s/4dngca4iw3w8v71/WV_OutLine124in295%20copy.jpg?dl=0,,"Working as a collaborative team, this co-founding chapter focuses on providing an open learning environment for those interested in working on projects that intersect international development, emergency response, and geographic information science.
They connect beginners and experts by providing technical training and experience in building meaningful and useful geographic infrastructure data, while connecting to sister cities around the world.",https://www.dropbox.com/s/4dngca4iw3w8v71/WV_OutLine124in295%20copy.jpg?dl=0,https://www.dropbox.com/s/5j1wuzh02g0inz3/west-virginia-u-6dd283_5fb53080485649e088af805c1556de7d.png?dl=0,https://dl.dropbox.com/s/5j1wuzh02g0inz3/west-virginia-u-6dd283_5fb53080485649e088af805c1556de7d.png?dl=0,3,,USA,0-Inaugural
The George Washington University,Humanitarian Mapping Society,"Washington, DC",mailto:hms.gwu@gmail.com?subject=About%20HMS%20from%20the%20Youth%20Mappers%20webpage,https://www.facebook.com/GWHMS/,-77.048124,38.89984,https://dl.dropbox.com/s/g0la9yen6riwa5r/gw_atx_4cp_pos%20copy.jpg?dl=0,,"Models of leadership and engagement, HMS seeks to render aid and better the world through humanitarian Geographic Information Systems (GIS) projects. This co-founding affiliated chapter on the campus of GWU has a plethora of experience to share, and frequently partners directly with USAID, the American Red Cross, and the US Department of State in their DC area to expand student-led efforts and serve the global community.",https://www.dropbox.com/s/g0la9yen6riwa5r/gw_atx_4cp_pos%20copy.jpg?dl=0,https://www.dropbox.com/s/y0vuruobf0ppz71/gwu-6dd283_0a3a0632e05a4e739799ceb7fe10fe16.png?dl=0,https://dl.dropbox.com/s/y0vuruobf0ppz71/gwu-6dd283_0a3a0632e05a4e739799ceb7fe10fe16.png?dl=0,2,,USA,0-Inaugural
McGill University,Open Mapping Group McGill: A Member of the McGill Undergraduate Geography Society,"Montreal, CANADA",mailto:omg.mcgill@gmail.com,,-73.578696,45.5063,https://dl.dropbox.com/s/42g97p2uqfn4up3/McGill_Logo.png?dl=0,,"The Open Mapping Group McGill: A Member of McGill Undergraduate Geography Society (OMG McGill) aims to connect students with open geospatial data and technologies to enhance resilience, community-building, and learning through mapping–on campus, in Montreal, in Canada, and abroad.",https://www.dropbox.com/s/42g97p2uqfn4up3/McGill_Logo.png?dl=0,https://www.dropbox.com/s/g1gbjscugmqnnwh/OMGMcGill_Exec.JPG?dl=0,https://dl.dropbox.com/s/g1gbjscugmqnnwh/OMGMcGill_Exec.JPG?dl=0,,,CAN,1-USA
University of Victoria,Society of Geography Students,"Victoria, CANADA",mailto:sogsmappers@gmail.com,https://www.facebook.com/SOGSUVic/,-123.311855,48.463463,https://dl.dropbox.com/s/7sk2i7jyys9onbj/Univ_Vicotoria_logo.png?dl=0,,SOGS seeks to promote and represent social and academic interests within the Department of Geography. This is expressed by four key goals: To provide a forum for the discussion of matters concerning the quality and accessibility of education within geography; to provide a means of expressing a consensus of student opinion to deparhnental faculty through representation at deparkrnental meetings and on departrnental committees; to undertake anangements for such activities as are for the benefit of students and are seen to be within the field of interest of students in geography; to act as a liaison through the UVSS and the Course Union Council with other student groups on campus,https://www.dropbox.com/s/7sk2i7jyys9onbj/Univ_Vicotoria_logo.png?dl=0,https://www.dropbox.com/s/8bjqiyy686b9xzi/UnivVictoriaGroupPhoto-resize.jpg?dl=0,https://dl.dropbox.com/s/8bjqiyy686b9xzi/UnivVictoriaGroupPhoto-resize.jpg?dl=0,,,CAN,1-USA
University of Vermont,University of Vermont Humanitarian Mapping Club,"Burlington, VERMONT",mailto:uvm.hmc@gmail.com,https://www.facebook.com/UVMHMC,-73.21289063,44.46515101,https://dl.dropbox.com/s/cnjzexk00iayn12/u-vermont.jpg?dl=0,,,https://www.dropbox.com/s/cnjzexk00iayn12/u-vermont.jpg?dl=0,,https://dl.dropbox.com/s/isfogi9f4lrpkaq/vermont.jpg?dl=0,42,,USA,1-USA
California University of Pennsylvania,CalU PA GIS Club,"California, PENNSYLVANIA",mailto:mueller@calu.edu?subject=About%20the%20CAL%20U%20GIS%20Club%20and%20Youth%20Mappers,https://www.facebook.com/CalUGisClub/,-79.89257813,40.04443758,https://dl.dropbox.com/s/bfaesn8svqygw6q/calu_logo.jpg?dl=0,,GIS Students at Cal U learn to apply spatial theory to the real world. The university degree program focuses on geography as well as utilizing GIS in emergency management.,https://www.dropbox.com/s/bfaesn8svqygw6q/calu_logo.jpg?dl=0,https://www.dropbox.com/s/r61es52ia8obcau/Cal%20Univ%20of%20PA.png?dl=0,https://dl.dropbox.com/s/r61es52ia8obcau/Cal%20Univ%20of%20PA.png?dl=0,14,,USA,1-USA
The Citadel,YouthMappers at The Citadel,"Charleston, SOUTH CAROLINA",Mailto:cstokes5@citadel.edu,,-79.960636,32.797069,https://dl.dropbox.com/s/ynae5as59ny3ysv/CITADEL_Logo.jpg?dl=0,,"This chapter is also a Rotaract Club, which is an affiliate of Rotary International. Multiple members, as well as leadership have expressed an interest in YouthMappers and we would like to affiliate our Citadel Rotaract Club with YouthMappers. ",,https://www.dropbox.com/s/rekf79qf3ki2055/citadelYM.png?dl=0,https://dl.dropbox.com/s/rekf79qf3ki2055/citadelYM.png?dl=0,,,USA,1-USA
University of Chicago,Tobler Society,"Chicago, ILLINOIS",mailto:toblersociety@uchicago.edu,,-87.598779,41.788917,,,,,https://www.dropbox.com/s/eb1lc1uyp82fgyq/ToblerSociety-UnivChicago.png?dl=0,https://dl.dropbox.com/s/eb1lc1uyp82fgyq/ToblerSociety-UnivChicago.png?dl=0,,,USA,1-USA
Clemson University,Clemson Mappers,"Clemson, SOUTH CAROLINA",mailto:clemsonmappers@gmail.com,http://www.clemsongis.org/#!clemson-mappers/i9w6t,-82.79296875,34.66935855,https://dl.dropbox.com/s/ddt909xpp4p8vf6/clemson-university-logo.jpg?dl=0,,"Students in Clemson are supported by the Center for Geospatial Technologies, a community of interdisciplinary geospatial science practitioners supporting research, teaching, and outreach activities using technologies that enable the collection, analysis, and application of geospatial data. Students integrate geospatial technologies within their scholarly activities across all disciplines and build connections throughout the world.",https://www.dropbox.com/s/ddt909xpp4p8vf6/clemson-university-logo.jpg?dl=0,,https://dl.dropbox.com/s/f7u87qmqmd3l848/Clemson.jpg?dl=0,9.91,,USA,1-USA
